"","year","country","heatwave","coldwave","drought","flood","firerisk"
"1",1981,"AT",14,34,71.735901,0,46.904203
"2",1982,"AT",13,34,78.937694,0,61.889576
"3",1983,"AT",14,38,46.300643,0,89.836977
"4",1984,"AT",3,14,39.978276,0,57.417566
"5",1985,"AT",11,99,31.115051,2,86.091025
"6",1986,"AT",3,48,39.70074,0,100.117775
"7",1987,"AT",0,47,34.896793,0,50.1321225
"8",1988,"AT",4,25,44.591021,0,55.200232
"9",1989,"AT",7,13,24.287424,0,41.052199
"10",1990,"AT",12,17,80.549907,0,82.084988
"11",1991,"AT",3,49,66.230447,3,62.364415
"12",1992,"AT",42,9,151.203443,0,113.98148
"13",1993,"AT",9,50,76.679582,0,49.498461
"14",1994,"AT",38,33,65.136912,0,87.111392
"15",1995,"AT",7,27,28.119091,0,73.958603
"16",1996,"AT",21,55,62.683985,3,30.784981
"17",1997,"AT",3,25,40.712368,3,53.477898
"18",1998,"AT",17,33,34.08423,0,27.150639
"19",1999,"AT",6,30,34.615378,6,46.542581
"20",2000,"AT",20,14,103.236919,0,80.313313
"21",2001,"AT",9,22,57.173084,0,71.049904
"22",2002,"AT",25,29,53.537583,3,48.714014
"23",2003,"AT",63,46,183.352551,0,121.296485
"24",2004,"AT",0,12,41.170426,0,51.620641
"25",2005,"AT",11,28,43.793859,8,65.002397
"26",2006,"AT",24,26,92.282486,4,98.11401
"27",2007,"AT",18,29,103.110049,0,50.885149
"28",2008,"AT",6,6,33.34,0,35.292327
"29",2009,"AT",7,40,39.856854,5,40.042802
"30",2010,"AT",27,48,39.490483,0,54.220045
"31",2011,"AT",21,15,68.25145,0,49.252552
"32",2012,"AT",52,73,82.091449,0,36.261919
"33",2013,"AT",46,18,89.484789,3,71.324428
"34",2014,"AT",13,3,83.723857,0,31.033678
"35",2015,"AT",90,3,103.841848,0,95.632014
"36",2016,"AT",10,31,24.099023,0,36.041945
"37",2017,"AT",50,18,122.232471,0,63.879595
"38",2018,"AT",40,18,99.72371,0,69.973951
"39",2019,"AT",51,0,119.719657,0,87.52748
"40",2020,"AT",9,8,107.47973,0,23.714894
"41",1981,"BE",0,32,10.142857,0,18.472075
"42",1982,"BE",26,17,13.44313,0,25.000147
"43",1983,"BE",6,20,45.206964,0,95.710433
"44",1984,"BE",0,0,25.174259,0,34.323018
"45",1985,"BE",0,91,6,0,58.751695
"46",1986,"BE",3,57,10,0,44.539051
"47",1987,"BE",0,54,5,0,21.0686708
"48",1988,"BE",0,15,34.273176,0,23.904583
"49",1989,"BE",6,0,167.837371,0,111.67956
"50",1990,"BE",7,0,122.708191,0,108.654803
"51",1991,"BE",3,32,110.973199,0,96.643457
"52",1992,"BE",0,33,36.040523,0,40.293546
"53",1993,"BE",0,55,136.681282,4,32.087386
"54",1994,"BE",14,10,56.600242,1,61.684129
"55",1995,"BE",24,29,105.219983,0,110.211023
"56",1996,"BE",3,55,114.932139,0,65.009726
"57",1997,"BE",13,39,58.864065,0,98.51783
"58",1998,"BE",0,33,28.713443,1,22.088123
"59",1999,"BE",3,6,29.98145,0,55.893752
"60",2000,"BE",6,0,5,0,19.268199
"61",2001,"BE",11,22,45.410256,0,35.959181
"62",2002,"BE",12,15,53.239387,9,27.496389
"63",2003,"BE",37,20,220.043846,3,120.025936
"64",2004,"BE",3,6,12.583333,0,62.298778
"65",2005,"BE",18,15,38.782741,6,81.734821
"66",2006,"BE",33,0,44.66292,0,68.58754
"67",2007,"BE",0,3,98.10699,0,16.618406
"68",2008,"BE",0,20,21.875775,0,12.242189
"69",2009,"BE",0,18,70.811179,0,130.184276
"70",2010,"BE",14,49,53.090797,7,57.769821
"71",2011,"BE",0,6,264.91263,8,38.40812
"72",2012,"BE",10,48,67.8689,0,26.403846
"73",2013,"BE",6,34,43.335095,0,63.540598
"74",2014,"BE",4,0,133.997274,0,11.651515
"75",2015,"BE",13,17,119.559069,0,61.628205
"76",2016,"BE",15,13,65.584143,0,81.754274
"77",2017,"BE",22,18,182.3378,0,73.465812
"78",2018,"BE",27,12,164.673028,0,212.715812
"79",2019,"BE",28,6,108.838765,0,122.354701
"80",2020,"BE",38,0,358.784627,0,114.352564
"81",1981,"BG",9,38,23.70174,0,37.519911
"82",1982,"BG",4,9,22.578947,0,10.373948
"83",1983,"BG",0,31,67.375881,0,14.524325
"84",1984,"BG",7,13,21.446777,0,55.698857
"85",1985,"BG",8,46,26.528658,0,71.586935
"86",1986,"BG",0,20,52.410988,0,51.971288
"87",1987,"BG",13,19,42.392753,0,44.6631707
"88",1988,"BG",16,36,27.443167,0,43.686431
"89",1989,"BG",0,21,33.943216,0,14.739583
"90",1990,"BG",3,17,72.044385,0,43.563247
"91",1991,"BG",3,42,12.876811,0,17.334865
"92",1992,"BG",8,14,39.594003,0,68.388996
"93",1993,"BG",3,51,88.656459,0,107.646245
"94",1994,"BG",12,14,77.473169,0,50.216549
"95",1995,"BG",0,35,13.644329,0,21.903062
"96",1996,"BG",10,25,45.585353,0,40.337261
"97",1997,"BG",7,19,21.673403,5,21.091959
"98",1998,"BG",20,19,40.74474,10,37.07987
"99",1999,"BG",18,16,15.18042,0,23.715908
"100",2000,"BG",23,13,139.162861,0,135.388002
"101",2001,"BG",18,39,40.829873,0,77.163302
"102",2002,"BG",17,25,34.513569,0,17.798585
"103",2003,"BG",9,34,51.532191,0,48.893004
"104",2004,"BG",3,21,41.931964,0,14.631065
