"","year","country","heatwave","coldwave","drought","flood","firerisk"
"1",1981,"AT",0,0,0,0,0
"2",1982,"AT",0,0,0,0,0
"3",1983,"AT",0,0,0,0,43.96627
"4",1984,"AT",0,0,0,0,0
"5",1985,"AT",0,99,0,2,0
"6",1986,"AT",0,0,0,0,0
"7",1987,"AT",0,0,0,0,0
"8",1988,"AT",0,0,0,0,0
"9",1989,"AT",0,0,0,0,0
"10",1990,"AT",0,0,0,0,0
"11",1991,"AT",0,0,0,2,0
"12",1992,"AT",0,0,64.54737,0,51.13943
"13",1993,"AT",0,22,0,0,0
"14",1994,"AT",0,0,0,0,0
"15",1995,"AT",0,0,0,0,0
"16",1996,"AT",0,23,0,0,0
"17",1997,"AT",0,0,0,0,0
"18",1998,"AT",0,0,0,0,0
"19",1999,"AT",0,0,0,6,0
"20",2000,"AT",0,0,57.17193,0,0
"21",2001,"AT",0,0,0,0,0
"22",2002,"AT",0,0,0,0,0
"23",2003,"AT",48,21,132.24956,0,84.72789
"24",2004,"AT",0,0,0,0,0
"25",2005,"AT",0,0,0,8,0
"26",2006,"AT",0,0,0,4,0
"27",2007,"AT",0,0,0,0,0
"28",2008,"AT",0,0,0,0,0
"29",2009,"AT",0,0,0,3,0
"30",2010,"AT",0,0,0,0,0
"31",2011,"AT",0,0,0,0,0
"32",2012,"AT",39,55,0,0,0
"33",2013,"AT",0,0,0,3,0
"34",2014,"AT",0,0,0,0,0
"35",2015,"AT",90,0,0,0,0
"36",2016,"AT",0,0,0,0,0
"37",2017,"AT",36,0,60.17193,0,0
"38",2018,"AT",0,0,0,0,0
"39",2019,"AT",37,0,0,0,0
"40",2020,"AT",0,0,56.32982,0,0
"41",1981,"BE",0,0,0,0,0
"42",1982,"BE",0,0,0,0,0
"43",1983,"BE",0,0,0,0,0
"44",1984,"BE",0,0,0,0,0
"45",1985,"BE",0,91,0,0,0
"46",1986,"BE",0,42,0,0,0
"47",1987,"BE",0,0,0,0,0
"48",1988,"BE",0,0,0,0,0
"49",1989,"BE",0,0,72,0,0
"50",1990,"BE",0,0,0,0,0
"51",1991,"BE",0,0,0,0,39.79598
"52",1992,"BE",0,0,0,0,0
"53",1993,"BE",0,24,0,2,0
"54",1994,"BE",0,0,0,0,0
"55",1995,"BE",0,0,0,0,39.62069
"56",1996,"BE",0,22,0,0,0
"57",1997,"BE",0,0,0,0,0
"58",1998,"BE",0,0,0,0,0
"59",1999,"BE",0,0,0,0,0
"60",2000,"BE",0,0,0,0,0
"61",2001,"BE",0,0,0,0,0
"62",2002,"BE",0,0,0,9,0
"63",2003,"BE",0,0,220.04385,2,44.92912
"64",2004,"BE",0,0,0,0,0
"65",2005,"BE",0,0,0,5,0
"66",2006,"BE",18,0,0,0,0
"67",2007,"BE",0,0,0,0,0
"68",2008,"BE",0,0,0,0,0
"69",2009,"BE",0,0,0,0,98.32892
"70",2010,"BE",0,22,0,5,0
"71",2011,"BE",0,0,264.91263,7,0
"72",2012,"BE",0,0,0,0,0
"73",2013,"BE",0,0,0,0,0
"74",2014,"BE",0,0,60.03774,0,0
"75",2015,"BE",0,0,0,0,0
"76",2016,"BE",0,0,0,0,0
"77",2017,"BE",0,0,182.3378,0,0
"78",2018,"BE",0,0,68.82075,0,212.71581
"79",2019,"BE",0,0,0,0,83.77778
"80",2020,"BE",0,0,358.78463,0,46.58333
"81",1981,"BG",0,27,0,0,0
"82",1982,"BG",0,0,0,0,0
"83",1983,"BG",0,0,0,0,0
"84",1984,"BG",0,0,0,0,0
"85",1985,"BG",0,27,0,0,0
"86",1986,"BG",0,0,0,0,0
"87",1987,"BG",0,0,0,0,0
"88",1988,"BG",0,0,0,0,0
"89",1989,"BG",0,0,0,0,0
"90",1990,"BG",0,0,0,0,0
"91",1991,"BG",0,42,0,0,0
"92",1992,"BG",0,0,0,0,0
"93",1993,"BG",0,51,57.19231,0,68.8235
"94",1994,"BG",0,0,0,0,0
"95",1995,"BG",0,0,0,0,0
"96",1996,"BG",0,0,0,0,0
"97",1997,"BG",0,0,0,5,0
"98",1998,"BG",0,0,0,10,0
"99",1999,"BG",0,0,0,0,0
"100",2000,"BG",0,0,139.16286,0,135.388
"101",2001,"BG",0,0,0,0,44.6016
"102",2002,"BG",0,0,0,0,0
"103",2003,"BG",0,0,0,0,0
"104",2004,"BG",0,0,0,0,0
"105",2005,"BG",0,0,0,40,0
"106",2006,"BG",0,0,0,13,0
"107",2007,"BG",46,0,83.61753,30,43.71587
"108",2008,"BG",0,0,0,0,0
"109",2009,"BG",0,0,0,0,0
"110",2010,"BG",19,0,0,4,0
"111",2011,"BG",0,0,0,0,0
"112",2012,"BG",62,24,150.44981,5,175.25457
"113",2013,"BG",0,0,70.51496,0,45.05263
"114",2014,"BG",0,0,0,35,0
"115",2015,"BG",0,0,0,13,0
"116",2016,"BG",0,0,0,0,0
"117",2017,"BG",41,0,0,0,0
"118",2018,"BG",0,0,0,0,0
"119",2019,"BG",22,0,0,0,85.53719
"120",2020,"BG",0,0,0,0,40.04132
"121",0,"CH",0,0,0,0,0
"122",1981,"CZ",0,0,0,0,0
"123",1982,"CZ",0,0,0,0,0
"124",1983,"CZ",0,0,0,0,0
"125",1984,"CZ",0,0,0,0,0
"126",1985,"CZ",0,41,0,0,0
"127",1986,"CZ",0,0,0,0,0
"128",1987,"CZ",0,0,0,0,0
"129",1988,"CZ",0,0,0,0,0
"130",1989,"CZ",0,0,0,0,0
"131",1990,"CZ",0,0,0,0,0
"132",1991,"CZ",0,21,0,0,0
"133",1992,"CZ",0,0,62.95542,0,0
"134",1993,"CZ",0,23,0,0,0
"135",1994,"CZ",17,0,0,0,0
"136",1995,"CZ",0,0,0,0,0
"137",1996,"CZ",0,24,0,2,0
"138",1997,"CZ",0,0,0,0,0
"139",1998,"CZ",0,0,0,0,0
"140",1999,"CZ",0,0,0,0,0
"141",2000,"CZ",0,0,0,6,0
"142",2001,"CZ",0,0,0,0,0
"143",2002,"CZ",0,0,0,24,0
"144",2003,"CZ",0,0,110.37589,0,50.66943
"145",2004,"CZ",0,0,0,0,0
"146",2005,"CZ",0,0,0,7,0
"147",2006,"CZ",0,0,0,24,0
"148",2007,"CZ",0,0,0,0,0
"149",2008,"CZ",0,0,0,0,0
"150",2009,"CZ",0,0,0,11,0
"151",2010,"CZ",0,0,0,17,0
"152",2011,"CZ",0,0,0,0,0
"153",2012,"CZ",19,22,0,0,0
"154",2013,"CZ",17,0,0,31,0
"155",2014,"CZ",0,0,0,0,0
"156",2015,"CZ",30,0,61.3536,0,0
"157",2016,"CZ",0,0,0,0,0
"158",2017,"CZ",0,0,0,0,0
"159",2018,"CZ",20,0,91.31206,0,49.44
"160",2019,"CZ",26,0,56.55015,0,0
"161",2020,"CZ",0,0,0,0,0
"162",1981,"DE",0,21,0,0,0
"163",1982,"DE",0,0,123.49365,0,48.67816
"164",1983,"DE",0,0,182.23503,0,319.67715
"165",1984,"DE",0,0,0,0,0
"166",1985,"DE",0,591,0,0,0
"167",1986,"DE",0,240,0,0,0
"168",1987,"DE",0,221,0,0,0
"169",1988,"DE",0,0,0,0,0
"170",1989,"DE",0,0,0,0,0
"171",1990,"DE",0,0,0,0,0
"172",1991,"DE",0,0,126.25511,0,284.42908
"173",1992,"DE",0,0,56.2584,0,285.73349
"174",1993,"DE",0,0,78.48387,0,0
"175",1994,"DE",17,0,0,8,0
"176",1995,"DE",0,0,0,0,0
"177",1996,"DE",0,170,0,0,0
"178",1997,"DE",36,65,0,6,80.74913
"179",1998,"DE",0,42,0,0,0
"180",1999,"DE",0,0,0,2,0
"181",2000,"DE",0,0,0,0,0
"182",2001,"DE",0,0,0,0,0
"183",2002,"DE",0,0,0,0,0
"184",2003,"DE",112,0,1647.9296,0,601.35299
"185",2004,"DE",0,0,0,0,0
"186",2005,"DE",0,0,0,2,0
"187",2006,"DE",36,0,0,6,186.56959
"188",2007,"DE",0,0,0,0,0
"189",2008,"DE",0,0,0,0,0
"190",2009,"DE",0,0,0,0,0
"191",2010,"DE",0,488,0,0,0
"192",2011,"DE",0,0,1335.60792,11,0
"193",2012,"DE",0,183,0,0,0
"194",2013,"DE",0,0,0,24,0
"195",2014,"DE",0,0,213.20245,0,0
"196",2015,"DE",63,0,286.38821,0,88.17962
"197",2016,"DE",0,0,0,0,0
"198",2017,"DE",0,0,0,8,0
"199",2018,"DE",166,0,1982.7358,0,1329.3402
"200",2019,"DE",264,0,711.09356,0,358.56631
"201",2020,"DE",90,0,1482.16554,0,96.775
"202",1981,"DK",0,24,0,0,0
"203",1982,"DK",0,0,0,0,46.48832
"204",1983,"DK",0,0,0,0,41.48832
"205",1984,"DK",0,0,0,0,0
"206",1985,"DK",0,41,0,0,0
"207",1986,"DK",0,23,0,0,0
"208",1987,"DK",0,0,0,0,0
"209",1988,"DK",0,0,0,0,0
"210",1989,"DK",0,0,0,0,0
"211",1990,"DK",0,0,0,0,0
"212",1991,"DK",0,0,0,0,48.62291
"213",1992,"DK",0,0,0,0,0
"214",1993,"DK",0,0,0,0,0
"215",1994,"DK",0,0,0,0,0
"216",1995,"DK",0,0,0,0,0
"217",1996,"DK",0,0,0,0,0
"218",1997,"DK",27,0,0,0,0
"219",1998,"DK",0,23,0,0,0
"220",1999,"DK",0,0,0,0,0
"221",2000,"DK",0,0,0,0,0
"222",2001,"DK",0,0,0,0,0
"223",2002,"DK",19,0,0,0,0
"224",2003,"DK",0,0,0,0,53.09566
"225",2004,"DK",0,0,0,0,0
"226",2005,"DK",0,0,0,0,0
"227",2006,"DK",20,0,0,0,0
"228",2007,"DK",0,0,0,0,0
"229",2008,"DK",0,0,0,0,0
"230",2009,"DK",0,0,0,0,0
"231",2010,"DK",0,62,0,0,0
"232",2011,"DK",0,0,0,0,0
"233",2012,"DK",0,23,0,0,0
"234",2013,"DK",0,0,0,0,0
"235",2014,"DK",0,0,0,0,0
"236",2015,"DK",0,0,0,0,0
"237",2016,"DK",0,0,0,0,0
"238",2017,"DK",0,0,0,0,0
"239",2018,"DK",32,0,59.07482,0,93.35484
"240",2019,"DK",0,0,0,0,45.48387
"241",2020,"DK",17,0,0,0,0
"242",1981,"EE",0,0,0,0,0
"243",1982,"EE",0,0,0,0,0
"244",1983,"EE",0,0,0,0,45.42912
"245",1984,"EE",0,0,0,0,0
"246",1985,"EE",0,31,0,0,0
"247",1986,"EE",0,0,0,0,0
"248",1987,"EE",0,21,0,0,0
"249",1988,"EE",0,0,0,0,0
"250",1989,"EE",0,0,0,0,0
"251",1990,"EE",0,0,57.62424,0,0
"252",1991,"EE",0,0,0,0,0
"253",1992,"EE",0,0,0,0,58.06618
"254",1993,"EE",0,23,0,0,0
"255",1994,"EE",0,0,0,0,0
"256",1995,"EE",0,0,0,0,44.93696
"257",1996,"EE",0,0,0,0,0
"258",1997,"EE",17,0,0,0,0
"259",1998,"EE",0,24,0,0,0
"260",1999,"EE",0,0,0,0,0
"261",2000,"EE",0,0,0,0,0
"262",2001,"EE",0,0,0,0,0
"263",2002,"EE",0,33,116.1,0,0
"264",2003,"EE",0,0,0,0,0
"265",2004,"EE",0,0,0,0,0
"266",2005,"EE",0,0,0,0,0
"267",2006,"EE",0,0,78.0803,0,0
"268",2007,"EE",0,0,0,0,0
"269",2008,"EE",0,0,0,0,0
"270",2009,"EE",0,0,0,0,0
"271",2010,"EE",27,26,0,0,0
"272",2011,"EE",20,0,0,0,0
"273",2012,"EE",0,22,0,0,0
"274",2013,"EE",0,0,0,0,0
"275",2014,"EE",19,0,0,0,0
"276",2015,"EE",0,0,0,0,0
"277",2016,"EE",0,0,0,0,0
"278",2017,"EE",0,0,0,0,0
"279",2018,"EE",24,0,0,0,50.65657
"280",2019,"EE",24,0,0,0,0
