;country;crop_name;crop_id;uncertainty_indicator;odds_ratio_days_heatwave;odds_ratio_days_coldwave;odds_ratio_days_drought;odds_ratio_days_flood;odds_ratio_exp_area_heatwaves;odds_ratio_exp_area_coldwaves;odds_ratio_exp_area_droughts;odds_ratio_exp_area_floods;max_likelihood_pseudo_R2;Wald_Test_p_val_days_heatwave;Wald_Test_p_val_days_coldwave;Wald_Test_p_val_days_drought;Wald_Test_p_val_days_flood;Wald_Test_p_val_exp_area_heatwaves;Wald_Test_p_val_exp_area_coldwaves;Wald_Test_p_val_exp_area_droughts;Wald_Test_p_val_exp_area_floods
51;HR;Sorghum;C1700;0.043;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
57;HR;Hemp;I2200;0.022;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
95;EE;Maize;C1500;0;1;1;1;NA;1;1;1;NA;NaN;1;1;1;1;1;1;1;1
103;FI;Sunflower seed;I1120;0.13;1;1;1;1;1;1;1;NA;NaN;1;1;1;1;1;1;1;1
123;FR;Aromatic & medicinal plants;I5000;0.022;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
163;IE;Tobacco;I3000;0;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
178;IT;Aromatic & medicinal plants;I5000;0.022;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
248;SK;Fibre flax;I2100;0.043;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
249;SK;Hemp;I2200;0.022;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
250;SK;Tobacco;I3000;0.283;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
275;ES;Leguminous plants green;G2000;0.239;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
287;SE;Leguminous plants green;G2000;0.0532477419354839;1;1;1;1;1;1;1;NA;NaN;1;1;1;1;1;1;1;1
294;UK;Sugar beet;R2000;0.355320460260272;1;1;1;1;1;1;1;1;NaN;1;1;1;1;1;1;1;1
169;IT;Maize;C1500;0.237800523207573;1.04085774702727;0.987549232466172;0.988003419158178;0.997708792006913;0.819688766243784;1.34413984908036;1.78872824126311;0.895105202920302;0.66929010098905;0.00348152307635367;0.661815553925997;0.220235454388039;0.918970603759061;0.556389099647168;0.630976370158085;0.249287110999774;0.547456833784685
56;HR;Soy beans;I1130;0.261;1.01980317474002;0.996837402095567;0.99290400936851;1.00019244258839;0.907602485358425;1.28008631791776;2.17255984732346;1.08720141901512;0.591212640945787;0.108540028565411;0.786270872112149;0.190190453331285;0.997374801569571;0.699891760685498;0.335207642458249;0.0147059500929047;0.690542732512926
50;HR;Maize;C1500;0.239;1.02305739413253;1.00102162763193;0.993915606806466;0.995889225229425;0.815084684759134;1.02373867239882;2.10871931951405;1.05268993283243;0.554666040053683;0.0753007578512521;0.933222081511364;0.279915636785447;0.946200086236288;0.437758997961888;0.929567716943699;0.0236236648413155;0.814625831124702
133;DE;Roots & tubers;R0000;0.109;1.0089637954166;1.02234170890541;0.998091910856381;1.44912207201315;1.98479932024405;0.574481334206565;1.42588565027384;0.292261582825556;0.550003034730325;0.904231840297062;0.170320787738665;0.698833686027976;0.0675689239465402;0.56785355142707;0.188628891819117;0.396778213457822;0.0222026778375635
63;HR;Green maize;G3000;0.239;1.01233127584997;1.00185952133866;1.00141324297618;1.07337566234985;0.917735215409415;0.941177733719574;1.59841494994431;0.940039657773451;0.544224216904909;0.37322451937213;0.889299418010744;0.817777037650549;0.293863280924171;0.765129987249593;0.834846671178508;0.181640521343595;0.796575576959719
183;LT;Wheat & spelt;C1100;0.217;1.05850551043357;0.981920992558206;0.992245252903085;0.812079833294941;0.75391098864399;1.59739979418298;1.50897345384322;1.78269198332672;0.542627917250751;0.0867349423333177;0.330808192399643;0.649007036160657;0.696444018160065;0.605843597344578;0.258555567993583;0.625898940635539;0.678118733632151
230;RO;Maize;C1500;0.457;0.996033501696876;0.992327308205898;1.00466024345096;1.00974004620123;1.40889268167305;1.46216481330502;1.414101609853;1.03579326151131;0.539716902958976;0.85384740294006;0.68562667336984;0.682453826045686;0.521066271834182;0.459085286098326;0.380715927751727;0.627169168527919;0.856841894164824
65;CZ;Rye;C1200;0.457;0.991920228832874;1.0007715078704;1.01584965847687;1.02240084228285;1.08512918869093;1.1403327797093;0.460693330735753;1.27599795920707;0.532406830701389;0.685162652959829;0.955269616426643;0.00177706319908761;0.0606377635226501;0.829731259796569;0.657866258716591;0.00329229672337687;0.196117139229312
52;HR;Roots & tubers;R0000;0.109;1.0473126574064;0.997362659825574;0.992362359218713;0.902113996523504;0.574734819781786;1.00280020239254;1.42550296853825;1.60321076929586;0.529206320619427;0.00211864776013808;0.845669646746554;0.223828187374685;0.136537404917892;0.0650000503140687;0.992447773502801;0.317373619048181;0.0599117261625341
151;HU;Soy beans;I1130;0.56289142053629;1.02272077244864;0.987722385641903;1.00845204602174;0.997083125596333;0.966057501569068;1.31166741438921;0.85966240669649;0.956909793184503;0.516609261200121;0.25518472192536;0.427757874353236;0.196587531922581;0.975082823273292;0.925676018821307;0.436414551685185;0.696803138334223;0.927714498115866
67;CZ;Oats;C1400;0.109;0.959131233297156;0.993890129308606;1.00464632991812;1.04303560608042;2.07534768398122;1.29725739068638;1.08909829931149;0.750580754502466;0.514289583327745;0.0473309903888235;0.662346689217729;0.330315263810412;0.000999921961342127;0.0665489309841926;0.391251214316318;0.733075615328855;0.137164095477267
94;EE;Oats;C1400;0;1.02388975406535;0.958407787712597;1.01468940368739;NA;1.08918307903465;2.83229840625355;0.533384495804672;NA;0.509642824236083;0.275195195141507;0.053086215434369;0.0212376015148909;1;NA;0.828959502036014;0.031666604324021;1
79;CZ;Temporary grassland;G1000;0.087;1.0484135867483;1.00885122396254;1.00127170529207;1.01316441219562;0.558380173801002;0.841070905456917;0.982272599865468;0.93320069133301;0.50510399353863;0.00215747533948879;0.371655858341872;0.700872054519831;0.116950822244675;0.0377748915869588;0.414631502488695;0.918531233386625;0.602782742617398
46;HR;Wheat & spelt;C1100;0;1.02698275122754;0.999298725329338;1.00165260686425;1.16797065972939;0.662443586936832;0.863153052872296;0.872670713036871;1.00117785737196;0.490168402078388;0.0635229347182943;0.958896281496459;0.791709412612557;0.0286225861323408;0.166299582454572;0.620324373830193;0.699912305679584;0.996158844441157
182;IT;Green maize;G3000;0.778377306030485;1.03890464027603;1.13415493721173;1.00096386159622;1.0270241021211;0.536425223413425;0.0979575857822658;0.976173825418092;1.03844422555882;0.489552951491191;0.0408397195964298;0.00324401038474773;0.947091297370728;0.349436348614962;0.188604292915573;0.00986022385745537;0.975072618965735;0.88185170090333
44;BG;Leguminous plants green;G2000;0.043;0.948694753601759;0.989296005164276;1.02136740742619;0.994336173012372;2.292601582261;1.23303222722363;0.488980601653724;0.96109375101843;0.488307879361364;0.00125795539909053;0.495523060145675;0.000664529568425694;0.567641870821662;0.00385619684615096;0.496555246339306;0.0169258545876587;0.773583006443092
48;HR;Barley;C1300;0.261;1.03438927658852;1.00106756859181;0.994045287289727;1.17969926976005;0.628250256729592;0.815043374086331;1.38683929927737;0.894207318486603;0.478164870439001;0.0265226912502315;0.940437793383489;0.365493525074535;0.0265495994252189;0.13737388967204;0.512308311141694;0.380104945101988;0.663400229411482
60;HR;Green plants fodder;G0000;0.239;0.970303072486175;0.9963528537416;1.01843210382521;1.01883687323563;1.86864850801688;1.12291762481565;0.53765659907769;1.48018372969031;0.477985499144635;0.0462123286332572;0.798182812392358;0.00854633711613729;0.794324718467534;0.0487980400801864;0.709704188145789;0.101204059087696;0.133490200704522
150;HU;Sunflower seed;I1120;0.565;1.02054324348322;1.00457963126199;1.01695163807811;1.0326634517153;0.959962860208145;0.864024387046622;0.445694881801349;1.78945944482277;0.46802586004825;0.279976610362656;0.781095725440573;0.0675780935311965;0.627281486297985;0.905834521855348;0.685761347648404;0.139591842490232;0.0818895929432148
261;ES;Maize;C1500;0.239;1.04664837506613;0.99355731289245;1.00914788982353;0.585410825942952;0.412152959610041;1.608283238992;0.642880942843875;8.26032931014233;0.46572399945015;0.0392321955816644;0.902788794689728;0.380905773488572;0.0185503948158159;0.0883821444633835;0.630001501360312;0.473083360657285;0.00111375747202828
204;PL;Oats;C1400;0.152;1.03633637610987;0.983397984078985;1.00761167602235;0.932410413286987;0.596813548551179;1.4422299491841;1.20884081662199;0.941525966147766;0.461562935165118;0.34045081067469;0.37996276749492;0.481342278067542;0.763015182910071;0.413490810546274;0.425248853532269;0.764815495036176;0.911813707749619
158;HU;Green maize;G3000;0.522;0.970277965879145;1.00525953787973;1.01335537743411;0.985483675676418;2.03609173490334;0.955031871366176;0.752719257126466;1.02015290201883;0.458525337159526;0.138453305539367;0.753651988785145;0.106334324126844;0.85636913270172;0.0673823691205236;0.902230727024895;0.559265195023773;0.96164756406988
233;RO;Sunflower seed;I1120;0.565;0.989521332328028;1.01358034798551;1.01482215302042;1.00386986692682;1.5933652500188;1.03666005578757;0.671343181711322;1.16570976912759;0.458101254905119;0.654089875481533;0.527269846684912;0.186054712223848;0.814610667854686;0.334787150614933;0.940579393718043;0.54280506736271;0.470929436551149
130;DE;Barley;C1300;0.891578895449912;0.90794124153921;0.974626758560255;1.01064212649115;1.65645928765188;3.91435049516431;2.99255394321588;0.92321540700459;0.417348202336616;0.453993290297709;0.230990652959875;0.155698349303612;0.0623101439043411;0.019547637412234;0.298202697515229;0.0227062187239513;0.867432963931134;0.125815106611248
53;HR;Potatoes;R1000;0.261;1.002656896152;0.99729696272732;1.0051173157206;1.02169157988859;1.06036657481479;1.11158522737796;1.01229991510197;1.55398600760842;0.451740818929097;0.859609997523846;0.853325658534705;0.449615372956536;0.769918790160444;0.852391817942112;0.740243166765867;0.974302935101937;0.101040571399391
132;DE;Maize;C1500;0.23843826637292;1.12694237398316;1.01644099517358;0.998242689237732;1.30073171891451;0.292757403447103;0.665239409839146;0.971554710020913;0.602404610990053;0.449007497989651;0.0616367797924569;0.331798551637133;0.736887878071493;0.102468692745555;0.217669516845595;0.363750594059688;0.944188210743634;0.256143135592391
160;IE;Barley;C1300;0.783;1.07888962457622;0.980662493176109;0.975801102220348;1.12232743493906;0.444541707118549;2.15016349110512;2.49599369816126;0.727295127430468;0.437132323697202;0.0170873517834387;0.191153701802309;0.0154087904148075;0.0155824963441496;0.106993439235966;0.0643501927073997;0.0639557721840023;0.32859189060982
136;DE;Sunflower seed;I1120;0.522366919847795;0.895143238076343;1.01176593344306;1.00992155089789;0.731755833420987;9.6578551023738;0.828924878760029;0.55283513136582;2.35752959894379;0.42754593831021;0.151885339736008;0.542148527749678;0.042014540982135;0.148140832683324;0.0895793659186709;0.687112848636785;0.14037282820089;0.113642989676711
3;AT;Barley;C1300;1;0.963354892208153;0.989269666992047;0.995804208517367;0.883086280097561;1.56199083704411;2.21126848185999;2.64157355231348;1.12443526517462;0.42750314451351;0.203380059069856;0.605535385127475;0.784392289765531;0.576793667276067;0.394971471083071;0.0829880206065639;0.226699629785108;0.770582052469395
255;SK;Leguminous plants green;G2000;0.239;1.03483086071242;0.995910767481088;0.98809543983667;0.991937141512513;0.630949507282532;1.19492234577073;2.88898797816633;1.01456960984468;0.42611315815799;0.0657158636085091;0.807183771010501;0.185660699700851;0.829700628330263;0.16177163896863;0.598494134255231;0.0246798329801892;0.949180846254013
27;BE;Fibre flax;I2100;0.21755437274217;0.591506290630855;0.992902437438445;1.01507845084728;0.876865113207991;985.338226694407;0.924255536067187;0.471570612937515;1.71291579230031;0.424232059738553;0.00401880041395042;0.794371118492085;0.00432254085043758;0.288589297694932;0.00448444384639124;0.890107433230557;0.0167257521554259;0.176905661513185
