"","country","crop_name","crop_id","uncertainty_indicator","odds_ratio_days_heatwave","odds_ratio_days_coldwave","odds_ratio_days_drought","odds_ratio_days_flood","odds_ratio_days_firerisk","odds_ratio_exp_area_heatwaves","odds_ratio_exp_area_coldwaves","odds_ratio_exp_area_droughts","odds_ratio_exp_area_floods","odds_ratio_exp_area_fireweatherrisk","max_likelihood_pseudo_R2","Wald_Test_p_val_days_heatwave","Wald_Test_p_val_days_coldwave","Wald_Test_p_val_days_drought","Wald_Test_p_val_days_flood","Wald_Test_p_val_days_firerisk","Wald_Test_p_val_exp_area_heatwaves","Wald_Test_p_val_exp_area_coldwaves","Wald_Test_p_val_exp_area_droughts","Wald_Test_p_val_exp_area_floods","Wald_Test_p_val_exp_area_fireweatherrisk"
"1","AT","Wheat & spelt","C1100","0.543","0.997069676060973","1.00115330228323","1.00725691489245","0.893925611578971","0.995451293476067","1.0016929286279","1.00998357324095","1.00013888051086","1.01172338238856","0.996991077336708","0.253431404099982","0.821825276213559","0.841342617772749","0.178653472195592","0.425241444643185","0.714573264698549","0.853161414171056","0.0736535084552576","0.969964379242564","0.18566032034312","0.81455969600615"
"2","AT","Rye","C1200","0.239","1.00323988830466","1.00001022146036","1.00055239618938","1.10101625998352","0.999848221192862","1.00480814795923","0.998424362409516","1.00266189142334","0.992915321926446","0.995805172467637","0.329891234473263","0.716393156293682","0.998022336866362","0.884018277278679","0.331752618650047","0.986401022087431","0.432656906881898","0.682647361707729","0.312045236700173","0.251268919180656","0.645854515048569"
"3","AT","Barley","C1300","1","1.00160613048458","0.999796068806993","1.00108732801372","1.10924963316267","1.00077621503325","1.0068756740449","0.999836653006508","1.00276693488689","0.993065238954017","0.993345526070208","0.364774779812286","0.890495751858604","0.961754938284282","0.76615127507487","0.393362121720699","0.92763876224787","0.436558211850551","0.970325889084154","0.373407215308829","0.373232813671691","0.527588867120092"
"4","AT","Oats","C1400","0.239","1.00384181229659","0.998055674922588","1.00238992254608","0.982808277113115","0.994468439736616",NA,NA,NA,NA,NA,"0.1195496537233","0.19000502783982","0.476582991676861","0.388169706885943","0.540592323206091","0.204407734788338","1","1","1","1","1"
"5","AT","Maize","C1500","0.239","0.984151398638533","0.998641005394073","0.996375550942296","1.00219330475956","0.997956685732962","1.01408382140282","0.996144156000968","0.999188860445316","0.999055731434261","1.00971998831107","0.256522779882802","0.0354897627145046","0.678732075778491","0.15181952340715","0.984188198205904","0.712747725971509","0.0118693300345627","0.31227626697582","0.748445928923958","0.904213474231621","0.317874643538105"
"6","AT","Sorghum","C1700","0.239","0.997700804198101","0.995083712054805","1.00302120954998","1.15110308139652","0.992545747121226","1.01000693536779","1.00017534394421","0.99827812397134","0.988570265034403","0.999952927977784","0.423726220631392","0.784408084949736","0.280905242890641","0.448573173009338","0.19475305929924","0.403013002316066","0.0635969410460041","0.972971552739093","0.596271655574919","0.129657914076201","0.996981116293504"
"7","AT","Rice","C2000","0",NA,"1","1","1","1",NA,NA,NA,NA,NA,"NaN","1","1","1","1","1","1","1","1","1","1"
"8","AT","Cereals nec","C1900","0.109","1","1","1","1","1",NA,NA,NA,NA,NA,"NaN","1","1","1","1","1","1","1","1","1","1"
"9","AT","Dry pulses","P0000","0.63","1.00842101153199","0.999632995043808","1.00395092321355","1.00141537035008","0.997357313777218",NA,NA,NA,NA,NA,"0.142805120681274","0.0842822216585339","0.934692942560068","0.386071808260275","0.97572150660882","0.709725700814027","1","1","1","1","1"
"10","AT","Roots & tubers","R0000","0.109","0.995117074167861","1.0024107885973","0.998573346037451","1.08009538175047","1.00252740339091","1.00457918037686","0.99912570738528","1.00168168438313","0.99518735798473","0.999607641831186","0.178671528883747","0.427322326856545","0.428038189660383","0.618598965818466","0.244408540393892","0.706631976192281","0.261121104296695","0.736602904041682","0.342560634677205","0.226289976876948","0.948841027619164"
"11","AT","Potatoes","R1000","1","0.989087466238301","1.00864566653281","0.997728886590385","0.942527631372361","1.0168113990815","1.00489572417288","0.997556719733464","1.00283263196556","1.00029058935302","0.985987283553126","0.205150103832634","0.320467232055092","0.13044997723648","0.666209211458933","0.617974854062866","0.181783158899946","0.486260531421562","0.610369415233765","0.381778893306682","0.967654051891981","0.214690483223819"
"12","AT","Sugar beet","R2000","1",NA,"0.985737517835443","1.0097355156816","1.72948653759915","1.01531811774286",NA,"1.00447298921126","1.00134356902402","0.963378334272305","0.990024853031421","0.319302942313787","1",NA,"0.271532150478047","0.365422505470871","0.317930466886892","1","0.320391210589474",NA,"0.498084897375939","0.764884627915341"
"13","AT","Rape seed","I1110","1","1.00603715579015","1.0039167218633","0.992431587975134","1.02728337078628","0.99828235258078",NA,NA,NA,NA,NA,"0.225485224965881","0.186048228315487","0.35918234298603","0.0825717258877419","0.541397042977201","0.798089179470093","1","1","1","1","1"
"14","AT","Sunflower seed","I1120","0.948835839410868","0.999795457339829","0.999653768259096","1.00671240092231","0.955911544626265","0.994088718736659","1.00335253962824","0.99922402875899","1.00432341602096","0.999027802521988","1.00159606736452","0.311653763130045","0.982445966362047","0.945075749244876","0.172141399233138","0.644010544273124","0.596636158355636","0.550409066214911","0.84535975251519","0.113593935521763","0.864717831746393","0.863087087148153"
"15","AT","Soy beans","I1130","0.63","1.01000005210227","1.00232437088293","0.999146791454667","0.818805585298858","0.993574925411579","0.999843344999304","0.99751890898466","0.999798238499755","1.01466929168892","1.008564211556","0.182765343765403","0.596143517588695","0.735371463715463","0.878420639443585","0.345886979899159","0.61977606210592","0.991132262374588","0.735281812525218","0.968682239654307","0.299640739037991","0.628674339537701"
"16","AT","Fibre flax","I2100","0","1","1","1","1","1",NA,NA,NA,NA,NA,"NaN","1","1","1","1","1","1","1","1","1","1"
"17","AT","Hemp","I2200","0.109","1.00052357077344","0.998512144345557","0.999052522104194","1.10156149240477","1.00073345375804","0.998299156958919","0.998529053158306","1.00202321025115","0.992989985207232","0.99887899424392","0.131716327103735","0.941863761409172","0.67566985639312","0.776983189295014","0.218449354719599","0.92540220023089","0.716853040987765","0.635454459442607","0.336886407287349","0.142538380320727","0.877731500154779"
