country;crop;crop_id;type;Scarecity;activity;pb;r.squared;zero_counter
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p002;0.0211709345134285;0.441007399316561;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p003;0.0163024795568448;0.454858243438937;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p004;0.467715209834712;0.208471265308365;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p005;0.1746693473103;0.303407047168157;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p006;0.71515607913166;0.147916544580344;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p007;0.708004788878327;0.149691738274434;0.470588235294118
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p008;0.929764336502817;0.0830669773517297;0.705882352941177
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p009;0.772012205334884;0.1334088068853;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p010;0.710002499937708;0.14919668976714;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p016;0.127424875294028;0.32791692296986;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p018;0.138908551138822;0.321401503898088;0.117647058823529
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p019;0.369096725155181;0.234971200965197;0.147058823529412
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p020;0.0130027888217959;0.466440137100227;0.205882352941176
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p021;0.943122720685989;0.0769085776533973;0.0882352941176471
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p023;0.0296283201335894;0.422389501645584;0.0882352941176471
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p024;0.0448241882990665;0.398064657748123;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p030;0.146334223953476;0.317402639014297;0.147058823529412
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p031;0.966241497988705;0.0639708253438595;0.147058823529412
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p032;0.262107322618087;0.268511173600455;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p033;0.955447175202506;0.0704833658352447;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p040;0.206685597972618;0.289457633775552;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p043;0.580575204814332;0.180587068097564;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p044;0.0463165098469813;0.396068440867344;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p048;0.907773948525653;0.0920017436469195;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p055;0.995075741064529;0.0340376885414893;0.176470588235294
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p059;0.536358215660693;0.191332467824521;0.176470588235294
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p061;0.958233353442065;0.0688974044781237;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p062;0.638936850889979;0.166524226597794;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p065;0.249799651815757;0.272884597428471;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p066;0.985299412344105;0.0483568315553206;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p067;0.58299643955637;0.180002368073813;0.205882352941176
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p069;0.173733120644377;0.303841720068916;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p070;0.91908802210439;0.0875585241508095;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p079;0.0836799126888681;0.357915276344964;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p080;0.563803562838679;0.184645782251376;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p081;0.411249292348136;0.223284260363402;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p082;0.0867017851337172;0.355486999721462;0.5
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p083;0.203034785609491;0.290967031804184;0.205882352941176
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p084;0.47499079073195;0.206617132937463;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p085;0.965965502636079;0.0641512071259956;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p086;0.362789603718739;0.236777962557475;0.852941176470588
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p087;0.529088318774099;0.193115949887381;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p088;0.700890242813883;0.151449750230945;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p089;0.269733184085315;0.265868230421639;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p090;0.655071694308673;0.162627130704584;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p091;0.962886042973413;0.0661089197379565;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p092;0.201519149143702;0.291599268012283;0.735294117647059
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p093;0.299123398549051;0.256104854641171;0.5
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p094;0.999803877902409;0.0128008516393933;0.941176470588235
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p096;0.531459993422571;0.192533470526927;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p099;0.923341541626468;0.0858078498966107;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p101;0.930259910922928;0.0828501898822942;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p102;0.154156521866169;0.313351515852862;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p104;0.481187156943093;0.205046210108567;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p106;0.766516344229358;0.134849400183279;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p107;0.866874683932628;0.106211587735844;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p108;0.963667311031422;0.0656214006574919;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p109;0.829607872774571;0.117557229386971;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p110;0.887653727690499;0.0992923213756227;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p115;0.856149757688286;0.109597173061421;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;floods;0.5;AT_p118;0.868808917486471;0.105588739791202;0.352941176470588
AT;C1200;Rye;floods;0;AT_p002;0.658031208302231;0.16191078369563;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p003;0.549375064737203;0.188152818595585;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p004;0.33371538365155;0.245338339576194;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p005;0.359561204170228;0.237709322010786;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p006;0.195203787949268;0.294270434897797;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p007;0.560520926679635;0.185442257482047;0.470588235294118
